hot_bytes,arm,med_ns,p10_ns,p90_ns,stream_med_ns
32768,control,3309,3299,3359,0
32768,kernel,4982,4612,5881,27449917
32768,kernel+nta4,5211,4934,6508,29725947
32768,kernel+nta16,5123,4675,6451,29311249
32768,memcpy,5497,5115,6383,7126653
32768,memcpy+nta,4987,4716,5753,7612810
524288,control,50199,49731,57365,0
524288,kernel,58740,56672,75662,25860426
524288,kernel+nta4,57228,55604,74583,26528958
524288,kernel+nta16,70682,59922,88136,31439100
524288,memcpy,71534,67568,115547,8495234
524288,memcpy+nta,68156,63056,80386,8151335
4194304,control,472317,454620,550365,0
4194304,kernel,528458,493700,633570,28021893
4194304,kernel+nta4,499513,475679,592458,26794514
4194304,kernel+nta16,479503,455751,523128,25414171
4194304,memcpy,504742,464057,617567,6787891
4194304,memcpy+nta,496979,474988,540263,7107790
