mask,nth,part,aff,pool,barrier,trials,med_ns,p10_ns,p90_ns,min_ns,mean_ns,cv,bal,mig,vctxt,ictxt,minflt,majflt,maxdiff,nbad
0xf,3,row,pin,stream,futex,30,1694330,1497628,10680356,1457568,3761596,1.6518,1.112,0,935,11,0,0,0.000000,0
0xf,4,row,pin,stream,futex,30,1429528,1336786,3001406,1327720,2151253,0.8686,1.106,0,876,0,0,0,0.000000,0
0xf,6,row,pin,stream,futex,30,3355000,1784799,9515166,1769086,4768781,0.9837,1.149,0,974,45,0,0,0.000000,0
0xf,8,row,pin,stream,futex,30,3600586,1732777,11970453,1637448,5277586,1.3486,1.201,0,996,57,0,0,0.000000,0
0xf,2,expert,free,stream,futex,30,1807135,1657219,2001646,1600556,1817902,0.0910,1.013,0,29,11,0,0,0.000000,0
0xf,3,expert,free,stream,futex,30,2384238,996766,5421461,905682,2579709,0.5527,1.696,2,60,7,0,0,0.000000,0
0xf,4,expert,free,stream,futex,30,2022867,976063,7696378,927726,3028271,0.8371,1.691,3,65,6,0,0,0.000000,0
0xf,6,expert,free,stream,futex,30,1438504,974143,3030852,506707,1562536,0.4677,2.178,0,66,7,0,0,0.000000,0
0xf,8,expert,free,stream,futex,30,1441035,970036,2004593,499109,1291916,0.3250,1.210,1,72,7,0,0,0.000000,0
0xf,2,expert,pin,stream,futex,30,1786875,1624534,3097486,1606705,1955732,0.2426,1.018,0,31,14,0,0,0.000000,0
0xf,3,expert,pin,stream,futex,30,2137407,1556049,4598680,1178266,2515382,0.4607,1.636,0,52,2,0,0,0.000000,0
0xf,4,expert,pin,stream,futex,30,1118404,968899,1947896,960658,1607113,0.9172,1.320,0,53,0,0,0,0.000000,0
0xf,6,expert,pin,stream,futex,30,1600205,998012,3244833,573378,2116608,0.8697,2.021,0,72,3,0,0,0.000000,0
0xf,8,expert,pin,stream,futex,30,1070490,567202,2189731,502086,1165152,0.5128,1.181,0,66,8,0,0,0.000000,0
0xf,4,row,free,stream,spin,30,1061429,977234,2497534,972039,2133185,2.0636,1.189,0,0,7,0,0,0.000000,0
0xf,4,row,pin,stream,spin,30,1053753,979252,8699254,973768,2924146,1.9252,1.288,0,0,25,0,0,0.000000,0
0xf,4,expert,free,stream,spin,30,988928,946854,1570993,936155,1222214,0.8082,1.263,0,0,3,0,0,0.000000,0
0xf,4,expert,pin,stream,spin,30,1006205,949934,2285651,948499,1291030,0.6679,1.283,0,0,17,0,0,0.000000,0
0xf,8,expert,pin,stream,spin,30,6219192,4983138,11739948,3002808,7350646,0.3383,1.910,0,0,100,0,0,0.000000,0
0x3,2,row,free,stream,spin,30,1957045,1670476,5669441,1624578,2695281,0.5905,1.236,0,0,1,0,0,0.000000,0
0x3,2,row,pin,stream,spin,30,1818525,1639565,6087935,1614364,3068488,1.3972,1.202,0,0,26,0,0,0.000000,0
0x3,2,expert,pin,stream,spin,30,1808213,1639357,1972550,1608429,2050651,0.7211,1.143,0,0,19,0,0,0.000000,0
0x5,2,row,pin,stream,spin,30,1942448,1771406,3063945,1749688,2610075,0.9289,1.209,0,0,10,0,0,0.000000,0
0x5,2,expert,pin,stream,spin,30,1984427,1678276,3108656,1618222,2196973,0.2406,1.022,0,0,66,0,0,0.000000,0
0x1,1,row,pin,stream,spin,30,3513518,3239853,3770615,3226130,3496117,0.0546,1.000,0,0,16,0,0,0.000000,0
0xf,4,row,free,hot,spin,30,1011089,959750,1520550,953052,1194001,0.4120,1.081,0,0,3,0,0,0.002872,36864
0xf,4,expert,free,hot,spin,30,1012767,943078,2159419,942305,1485646,1.0322,1.417,0,0,13,0,0,0.002872,36864
0xf,1,row,free,hot,spin,30,3381359,3193427,4070513,3157780,3523510,0.1035,1.000,0,0,19,0,0,0.002872,36864
0xf,1,row,free,stream,futex,30,3341918,3259292,3767602,3239901,3414222,0.0482,1.000,0,0,15,0,0,0.000000,0
0xf,2,row,free,stream,futex,30,2009697,1889832,3912770,1782521,2510774,0.3286,1.006,1,612,90,0,0,0.000000,0
0xf,3,row,free,stream,futex,30,1579709,1472995,2605918,1460948,2719328,1.6046,1.172,0,904,6,0,0,0.000000,0
0xf,4,row,free,stream,futex,30,2515226,1349152,5791463,1343789,2899415,0.6895,1.132,0,891,0,0,0,0.000000,0
0xf,6,row,free,stream,futex,30,2810321,1909248,5265000,1790945,4272088,1.3953,1.050,1,1077,0,0,0,0.000000,0
0xf,8,row,free,stream,futex,30,2274167,2136862,5245677,2128310,2795526,0.4498,1.152,0,1221,1,0,0,0.000000,0
0xf,2,row,pin,stream,futex,30,3382926,2406878,6201681,2361245,3868480,0.4169,1.007,0,605,8,0,0,0.000000,0
0xf,6,expert,free,stream,futex,30,2415664,736280,3935688,685112,2282428,0.5220,2.371,4,67,4,0,0,0.000000,0
0xf,8,expert,free,stream,futex,30,2052883,1375786,3898761,816083,2640873,1.0500,1.228,2,74,4,0,0,0.000000,0
0xf,2,expert,pin,stream,futex,30,2848899,2662370,3062237,2592394,2885980,0.1271,1.006,0,33,12,0,0,0.000000,0
0xf,3,expert,pin,stream,futex,30,2209778,2070523,2824560,1458252,2361966,0.2166,1.533,0,38,0,0,0,0.000000,0
0xf,4,expert,pin,stream,futex,30,2373102,1642382,10050885,1498652,4688743,1.3316,1.627,0,55,3,0,0,0.000000,0
0xf,6,expert,pin,stream,futex,30,3003042,1840150,9759382,1481226,4811215,1.5178,2.324,0,71,3,0,0,0.000000,0
0xf,8,expert,pin,stream,futex,30,1708807,877881,3403968,812797,2186740,0.9057,1.258,0,71,2,0,0,0.000000,0
0xf,4,row,free,stream,spin,30,1652045,1494056,3794685,1468042,3592502,2.3106,1.256,0,0,19,0,0,0.000000,0
0xf,4,row,pin,stream,spin,30,1923620,1481409,7110194,1469256,3068763,0.8168,1.432,0,0,25,0,0,0.000000,0
0xf,4,expert,free,stream,spin,30,15227066,5595406,38086669,2642450,18112850,0.6585,1.972,11,0,183,0,0,0.000000,0
0xf,4,expert,pin,stream,spin,30,1669089,1534758,3793709,1522597,2181816,0.5051,1.250,0,0,8,0,0,0.000000,0
0xf,8,expert,pin,stream,spin,30,6990577,5919684,24721515,3062201,10641301,0.6465,1.899,0,0,85,0,0,0.000000,0
0x3,2,row,free,stream,spin,30,3243588,3033059,7624643,3029470,5490845,1.0939,1.592,0,0,38,0,0,0.000000,0
0x3,2,row,pin,stream,spin,30,3196550,3050820,6187209,3029101,3898505,0.3382,1.245,0,0,6,0,0,0.000000,0
0x3,2,expert,pin,stream,spin,30,3065300,3012808,4951581,3010150,3440706,0.4000,1.144,0,0,5,0,0,0.000000,0
0x5,2,row,pin,stream,spin,30,3061328,2897488,4329854,2878534,3502160,0.5393,1.131,0,0,5,0,0,0.000000,0
0x5,2,expert,pin,stream,spin,30,3057252,2880429,3221089,2858473,3445973,0.6325,1.104,0,0,12,0,0,0.000000,0
0x1,1,row,pin,stream,spin,30,5800828,5715648,6177723,5697930,5857032,0.0293,1.000,0,0,7,0,0,0.000000,0
0xf,4,row,free,hot,spin,30,1694908,1549235,4770892,1539862,2650093,1.0267,1.500,0,0,4,0,0,0.002872,36864
0xf,4,expert,free,hot,spin,30,1572038,1447351,5526622,1432810,2571016,1.0848,1.440,0,0,7,0,0,0.002872,36864
0xf,1,row,free,hot,spin,30,5785852,5674557,6190010,5656325,5841921,0.0300,1.000,0,0,30,0,0,0.002872,36864
0xf,1,row,free,stream,futex,30,5555255,5418659,6133791,5400119,6046448,0.3063,1.000,1,0,42,0,0,0.000000,0
0xf,2,row,free,stream,futex,30,3048715,3015973,3346057,2998143,3112618,0.0533,1.005,0,615,13,0,0,0.000000,0
0xf,3,row,free,stream,futex,30,2230751,2157294,3551430,2139732,3703212,1.9448,1.475,0,916,11,0,0,0.000000,0
0xf,4,row,free,stream,futex,30,3308064,1857569,6739772,1833544,3656682,0.4827,1.082,2,803,114,0,0,0.000000,0
0xf,6,row,free,stream,futex,30,4301143,2836314,16982572,2507818,6026544,0.9666,1.111,5,934,243,0,0,0.000000,0
0xf,8,row,free,stream,futex,30,3287080,2948648,6391752,2916977,3994742,0.4173,1.127,1,1190,3,0,0,0.000000,0
0xf,2,row,pin,stream,futex,30,2896461,2863198,4973578,2852123,3477595,0.4543,1.059,0,614,5,0,0,0.000000,0
0xf,3,row,pin,stream,futex,30,2475552,2255161,17600791,2185551,5421809,1.4129,1.127,0,892,0,0,0,0.000000,0
0xf,4,row,pin,stream,futex,30,2759591,2014260,5214697,1922662,3658223,0.7286,1.061,0,951,2,0,0,0.000000,0
0xf,6,row,pin,stream,futex,30,3703416,2585094,6898299,2524535,4756884,0.9552,1.094,0,988,50,0,0,0.000000,0
0xf,8,row,pin,stream,futex,30,3004315,2385847,16472497,2347927,6528943,1.4421,1.254,0,1040,50,0,0,0.000000,0
0xf,2,expert,free,stream,futex,30,2789765,2733213,2920517,2725557,2801948,0.0261,1.003,0,29,12,0,0,0.000000,0
0xf,3,expert,free,stream,futex,30,2487258,2005421,4009604,1388101,3200756,1.1800,1.429,0,36,2,0,0,0.000000,0
0xf,4,expert,free,stream,futex,30,1502734,1350338,2827433,1316034,1899725,0.4033,1.219,1,59,8,0,0,0.000000,0
0xf,4,row,free,stream,spin,30,1577576,1410357,7285476,1393991,3243954,1.5043,1.889,0,0,0,0,0,0.000000,0
0xf,4,row,pin,stream,spin,30,1716085,1473398,20012595,1423938,6282324,1.3933,1.629,0,0,28,0,0,0.000000,0
0xf,4,expert,free,stream,spin,30,1551098,1415293,3485760,1375474,2290805,1.0641,1.452,0,0,3,0,0,0.000000,0
0xf,4,expert,pin,stream,spin,30,1486525,1370940,3949048,1364575,2910443,1.6894,1.207,0,0,10,0,0,0.000000,0
0xf,8,expert,pin,stream,spin,30,5998217,4997544,17999084,2791187,8198914,0.6834,1.592,0,0,90,0,0,0.000000,0
0x3,2,row,free,stream,spin,30,2533885,2477744,2964836,2474103,2943327,0.6112,1.158,0,0,22,0,0,0.000000,0
0x3,2,row,pin,stream,spin,30,2799744,2600313,5020291,2594323,4367065,1.2834,1.637,0,0,5,0,0,0.000000,0
0x3,2,expert,pin,stream,spin,30,2728595,2602531,2850482,2588450,2729085,0.0312,1.018,0,0,2,0,0,0.000000,0
0x5,2,row,pin,stream,spin,30,2828134,2731446,3143747,2729120,3285402,0.6106,1.150,0,0,10,0,0,0.000000,0
0x5,2,expert,pin,stream,spin,30,2826584,2668110,3044620,2577393,3528965,1.0984,1.309,0,0,6,0,0,0.000000,0
0x1,1,row,pin,stream,spin,30,5175031,5137106,6365241,5115478,6622695,0.8693,1.000,0,0,35,0,0,0.000000,0
0xf,4,row,free,hot,spin,30,1470310,1336930,8861058,1320300,3617718,1.7504,1.966,0,0,11,0,0,0.002872,36864
0xf,4,expert,free,hot,spin,30,1499508,1369766,28899505,1363961,6849291,1.6774,2.712,3,0,52,0,0,0.002872,36864
0xf,1,row,free,hot,spin,30,5462047,5396091,5556138,5376498,5464838,0.0101,1.000,0,0,5,0,0,0.002872,36864
0xf,1,row,free,stream,futex,30,5452924,5170412,6096703,5144406,5505210,0.0579,1.000,1,0,19,0,0,0.000000,0
0xf,2,row,free,stream,futex,30,3366102,3169453,5033427,3041080,3668327,0.1921,1.026,0,602,6,0,0,0.000000,0
0xf,3,row,free,stream,futex,30,2632355,2270357,7252976,2263107,4638303,1.7220,1.074,0,890,6,0,0,0.000000,0
0xf,4,row,free,stream,futex,30,3386401,3253426,5424543,3223315,3984979,0.4906,1.027,0,983,1,0,0,0.000000,0
0xf,6,row,free,stream,futex,30,3019626,2691289,14868693,2659834,6562410,1.6607,1.121,3,1005,65,0,0,0.000000,0
0xf,8,row,free,stream,futex,30,4304593,3993625,11440417,3916289,7034476,1.2233,1.085,0,1193,2,0,0,0.000000,0
0xf,2,row,pin,stream,futex,30,3419934,3191831,4009036,3156424,4652342,1.3280,1.118,0,610,22,0,0,0.000000,0
0xf,3,row,pin,stream,futex,30,2546684,2406854,4816812,2367943,3135276,0.5685,1.033,0,914,5,0,0,0.000000,0
0xf,4,row,pin,stream,futex,30,2384707,2036557,23825442,2027859,6522046,1.4735,1.025,0,915,3,0,0,0.000000,0
0xf,6,row,pin,stream,futex,30,3179718,2586553,21878493,2530562,7696827,1.3282,1.081,0,912,76,0,0,0.000000,0
0xf,8,row,pin,stream,futex,30,2889626,2472323,16377221,2349724,6476758,0.9826,1.217,0,1076,43,0,0,0.000000,0
0xf,2,expert,free,stream,futex,30,2951164,2878755,3352147,2871833,3013879,0.0726,1.013,0,31,2,0,0,0.000000,0
0xf,3,expert,free,stream,futex,30,3071693,2286949,4932956,1940791,4626332,1.2308,1.746,2,39,11,0,0,0.000000,0
0xf,4,expert,free,stream,futex,30,3126595,1872334,5564422,1561577,3649117,0.5677,1.138,0,52,6,0,0,0.000000,0
0xf,6,expert,free,stream,futex,30,1903023,857610,8214491,835901,2714016,0.8449,2.209,4,68,6,0,0,0.000000,0
0xf,8,expert,free,stream,futex,30,3914964,1685760,11092645,820629,5697523,1.2621,2.373,15,75,17,0,0,0.000000,0
