mask,nth,part,aff,pool,barrier,trials,med_ns,p10_ns,p90_ns,min_ns,mean_ns,cv,bal,mig,vctxt,ictxt,minflt,majflt,maxdiff,nbad
0xf,2,row,free,stream,spin,30,10013030,4601142,36124682,4307839,15650969,0.9580,1.317,4,0,191,0,0,0.000000,0
0xf,2,expert,pin,stream,spin,30,8933536,4140279,74464457,3936008,21718497,1.2850,1.832,0,0,166,0,0,0.000000,0
0xf,3,row,free,stream,spin,30,5542523,2518927,157439726,2325062,40126968,1.9057,1.654,11,0,169,0,0,0.000000,0
0xf,3,expert,pin,stream,spin,30,3515515,2648781,12386721,2555157,5854083,0.9330,1.947,0,0,20,0,0,0.000000,0
0xf,6,expert,pin,stream,spin,30,6019526,5941810,41200442,4958050,14329381,1.2612,5.548,0,0,75,0,0,0.000000,0
0xf,6,row,free,stream,spin,30,174997096,132004827,253016400,129314540,189618048,0.2806,1.710,35,0,1462,0,0,0.000000,0
0xf,2,row,free,stream,spin,30,2454619,2374700,3759309,2371881,2684768,0.3040,1.116,1,0,9,0,0,0.000000,0
0xf,2,expert,pin,stream,spin,30,2537079,2465452,2975016,2456122,2909241,0.5944,1.127,0,0,25,0,0,0.000000,0
0xf,3,row,free,stream,spin,30,1880128,1768788,2333002,1753291,1923956,0.1024,1.063,1,0,3,0,0,0.000000,0
0xf,3,expert,pin,stream,spin,30,2089752,1967790,2530914,1946432,2191940,0.1555,1.543,0,0,8,0,0,0.000000,0
0xf,6,expert,pin,stream,spin,30,10707432,5996156,26988676,4653676,14656096,1.1475,4.220,0,0,138,0,0,0.000000,0
0xf,6,row,free,stream,spin,30,180278731,136836107,251422548,128999957,191384403,0.3217,1.491,44,0,1303,0,0,0.000000,0
